SPCD,DO_BH,HT_TOT,TT_DW_CRM,COMMON_NAME
12,8.8,51.5,212.72,balsam fir 
12,9.0,47.0,235.06,balsam fir 
12,9.2,57.7,284.47,balsam fir 
12,9.6,58.6,312.21,balsam fir 
12,9.7,55.1,324.62,balsam fir 
12,9.8,54.1,314.32,balsam fir 
12,10.0,61.0,347.48,balsam fir 
12,10.6,60.3,402.13,balsam fir 
12,11.0,52.6,372.11,balsam fir 
12,11.1,53.0,391.33,balsam fir 
12,11.2,55.5,446.86,balsam fir 
12,12.7,54.5,537.36,balsam fir 
12,13.1,64.8,602.36,balsam fir 
12,13.2,48.3,501.44,balsam fir 
12,13.3,65.8,673.83,balsam fir 
12,13.5,65.9,674.95,balsam fir 
12,6.5,46.7,107.04,balsam fir 
12,6.6,51.2,139.11,balsam fir 
12,6.6,53.8,145.68,balsam fir 
12,6.6,40.2,120.09,balsam fir 
12,6.7,54.3,145.59,balsam fir 
12,6.8,50.9,144.83,balsam fir 
12,6.9,48.2,138.91,balsam fir 
12,7.0,49.3,141.91,balsam fir 
12,7.0,43.3,129.84,balsam fir 
12,7.1,38.0,149.42,balsam fir 
12,7.1,45.3,135.44,balsam fir 
12,7.3,56.9,171.96,balsam fir 
12,7.3,50.7,162.9,balsam fir 
12,7.3,55.9,165.36,balsam fir 
12,7.3,45.8,153.61,balsam fir 
12,7.4,45.1,143.6,balsam fir 
12,7.4,48.6,164.48,balsam fir 
12,7.5,36.4,144.52,balsam fir 
12,7.7,50.7,188.51,balsam fir 
12,7.7,49.1,179.93,balsam fir 
12,7.7,58.9,213.72,balsam fir 
12,7.8,46.0,171.73,balsam fir 
12,7.8,49.8,180.15,balsam fir 
12,7.9,45.9,162.06,balsam fir 
12,8.0,44.2,190.97,balsam fir 
12,8.0,52.0,204.41,balsam fir 
12,8.1,48.5,189.98,balsam fir 
12,8.2,48.6,193.58,balsam fir 
12,8.2,38.1,166.34,balsam fir 
12,8.3,55.7,227.1,balsam fir 
12,8.3,56.1,225.41,balsam fir 
12,8.3,52.9,212.14,balsam fir 
12,8.3,45.8,196.31,balsam fir 
12,8.3,52.1,206.48,balsam fir 
12,8.4,46.5,180.94,balsam fir 
12,8.5,55.4,244.97,balsam fir 
12,8.7,54.4,272.96,balsam fir 
12,8.7,52.1,225.4,balsam fir 
12,8.7,54.0,254.66,balsam fir 
12,8.7,52.4,215.34,balsam fir 
12,8.8,51.9,229.93,balsam fir 
12,8.9,49.9,234.5,balsam fir 
12,8.9,58.7,259.79,balsam fir 
